年月,国,国名,当月輸出金額,累計輸出金額,当月輸入金額,累計輸入金額
202002,'335,セントクリストファー・ネービス,57905,94880,-,0
202002,'336,セントビンセント,51781,79429,-,0
202002,'337,英領アンギラ,25711,30252,-,0
202002,'338,サン・バルテルミー島（仏）,20288,38317,-,0
202002,'401,コロンビア,11299503,20231024,3011356,7986254
202002,'402,ベネズエラ,174660,299820,221544,636992
202002,'403,ガイアナ,649177,1191530,2917,17658
202002,'404,スリナム,538565,920112,-,34705
202002,'405,仏領ギアナ,88154,112480,-,0
202002,'406,エクアドル,3755640,7244735,10004979,18224971
202002,'407,ペルー,7271253,14712188,17483657,33243777
202002,'408,ボリビア,1156425,1954750,4209790,5393699
202002,'409,チリ,6946382,24640524,81915733,141623205
202002,'410,ブラジル,32801258,63153323,92311856,176161581
202002,'411,パラグアイ,916375,1655420,218633,1384251
202002,'412,ウルグアイ,566565,921429,432689,874880
202002,'413,アルゼンチン,4154703,8759429,6839466,13104219
202002,'414,フォークランド諸島及びその附属諸島（英）,-,0,17145,39631
202002,'501,モロッコ,2267970,4740402,3354701,4951172
202002,'502,セウタ及びメリリア（西）,2218,8351,-,0
202002,'503,アルジェリア,631149,2500519,3996078,5421555
202002,'504,チュニジア,940440,1717257,697584,1605802
202002,'505,リビア,253523,482829,2717549,2719458
202002,'506,エジプト,11827334,18814978,2263592,8137317
202002,'507,スーダン,465973,770944,44155,81467
202002,'509,モーリタニア,64456,338382,1204609,3804536
202002,'510,セネガル,451605,1115023,446764,516551
202002,'511,ガンビア,3787,8087,238,513
202002,'512,ギニア・ビサウ,6455,6455,-,0
202002,'513,ギニア,80560,126618,-,24936
202002,'514,シエラレオネ,68283,78356,2366,1494716
202002,'515,リベリア,29354663,60830894,12184,12648
202002,'516,コートジボワール,224525,386902,169918,282641
202002,'517,ガーナ,1326495,2180917,649002,916499
202002,'518,トーゴ,236755,310059,4266,5298
202002,'519,ベナン,44009,52621,388,1899
202002,'520,マリ,131326,186052,840,1362
202002,'521,ブルキナファソ,145168,155636,1017,3533
202002,'522,カーボベルデ,946,36723,-,0
202002,'523,カナリー諸島（西）,303767,558808,7360,7720
202002,'524,ナイジェリア,3425013,4782560,2917565,7552577
202002,'525,ニジェール,29113,43795,267,5124
202002,'526,ルワンダ,151544,159296,29297,56715
202002,'527,カメルーン,381199,468434,20547,94545
202002,'528,チャド,29751,47230,-,0
202002,'529,中央アフリカ,20692,25711,-,4577
202002,'530,赤道ギニア,-,8748,-,0
202002,'531,ガボン,561084,695264,908956,1083152
202002,'532,コンゴ共和国,10043,13801,4192,12280
202002,'533,コンゴ民主共和国,721052,1125224,14205,294312
202002,'534,ブルンジ,312654,583542,8603,25113
202002,'535,アンゴラ,509316,878498,41295,79390
202002,'536,サントメ・プリンシペ,242,242,-,1405
202002,'537,セントヘレナ及びその附属諸島（英）,-,0,-,35194
202002,'538,エチオピア,438593,805240,692306,1651550
202002,'539,ジブチ,638066,791539,-,1219
202002,'540,ソマリア,33415,62329,50999,161335
202002,'541,ケニア,6426600,11757677,776301,1323559
202002,'542,ウガンダ,1219252,2969816,100043,199387
202002,'543,タンザニア,2464702,4577234,857661,1705864
202002,'544,セーシェル,122114,177804,586372,1538297
202002,'545,モザンビーク,3775825,4346725,841696,1857282
202002,'546,マダガスカル,112817,155226,793884,2418182
202002,'547,モーリシャス,1208128,1989209,48916,108328
202002,'548,レユニオン（仏）,114007,181932,212,548
202002,'549,ジンバブエ,115099,219505,422794,855105
202002,'550,ナミビア,84028,409134,3094,146440
202002,'551,南アフリカ共和国,20564865,35580843,41297619,91913097
202002,'552,レソト,89608,143932,2415,6534
202002,'553,マラウイ,202020,313445,51599,140674
202002,'554,ザンビア,245284,575318,256278,365274
202002,'555,ボツワナ,94506,291353,110568,366737
202002,'556,エスワティニ,205949,374867,9739,19566
202002,'558,コモロ,9523,9523,3430,5809
202002,'559,エリトリア,2634,2634,-,0
202002,'560,南スーダン,172768,266504,272,272
202002,'601,オーストラリア,130680352,253054543,324307375,712431617
202002,'602,パプアニューギニア,1738434,3204585,21957489,41524746
202002,'605,その他のオーストラリア領,4620,5035,-,0
202002,'606,ニュージーランド,18521830,33875896,17929161,36750116
202002,'607,クック,6834,11696,39255,81296
202002,'609,ニウエ,642,22642,-,0
202002,'610,サモア,64409,246820,-,33718
202002,'611,バヌアツ,34479,460405,256328,577772
202002,'612,フィジー,356968,1100664,615536,664731
202002,'613,ソロモン,104748,545991,21463,34778
202002,'614,トンガ,13427,26222,17258,25415
202002,'615,キリバス,31755,135140,34578,44935
202002,'617,ナウル,5264,7171,-,2072
202002,'618,ニューカレドニア（仏）,360461,1148508,1923798,4843282
202002,'619,仏領ポリネシア,165869,363814,198399,423211
202002,'620,グアム（米）,1667746,4131836,16585,60913
202002,'621,米領サモア,26771,37862,-,223
202002,'622,米領オセアニア,-,0,3575,14055
202002,'624,ツバル,120602,345166,-,25120
202002,'625,マーシャル,8297447,30162946,35418,577427
202002,'626,ミクロネシア,281908,352218,24137,36928
202002,'627,北マリアナ諸島（米）,187837,511050,-,264
202002,'628,パラオ,107607,191145,58167,119461
202002,'702,不明,-,0,53404,76580
202003,'103,大韓民国,445288108,1233691729,264857754,799614017
202003,'105,中華人民共和国,1190831457,3223609684,1433851686,3845875795
202003,'106,台湾,432007398,1181175172,237433905,719066894
202003,'107,モンゴル,3348012,8492907,105945,381073
202003,'108,香港,278049742,811724600,7024494,23773873
202003,'110,ベトナム,172049676,455433092,224807426,615643337
202003,'111,タイ,256345860,760159818,230938876,662322545
202003,'112,シンガポール,160469045,527862110,78992993,231155683
202003,'113,マレーシア,129925489,371819145,177329284,530620209
