タイトル,統計品別推移表
輸出入,輸出
推移表の種類,月別推移表
統計年,'2025年-2026年
全国分・税関別,全国分
世界・国別,世界
品目,品目コード指定,'8708
単位:(1000円)


品目,暦年月,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
8708.70-000,'2026/02,,KG,,4679342,3078827,,8662829,5802028
8708.70-000,'2026/03,,KG,,5108516,3479355,,13771345,9281383
8708.70-000,'2026/04,,KG,,4658963,3502066,,18430308,12783449
8708.70-000,'2026/05,,KG,,4330490,3120338,,22760798,15903787
8708.70-000,'2026/06,,KG,,5070568,3689147,,27831366,19592934
8708.70-000,'2026/07,,KG,,4954880,3911569,,32786246,23504503
8708.80-000,'2025/01,,KG,,7860023,10279990,,7860023,10279990
8708.80-000,'2025/02,,KG,,9784037,12984325,,17644060,23264315
8708.80-000,'2025/03,,KG,,10886405,13600488,,28530465,36864803
8708.80-000,'2025/04,,KG,,10194983,12751234,,38725448,49616037
8708.80-000,'2025/05,,KG,,8883008,11321577,,47608456,60937614
8708.80-000,'2025/06,,KG,,10676874,13525540,,58285330,74463154
8708.80-000,'2025/07,,KG,,10788318,13973117,,69073648,88436271
8708.80-000,'2025/08,,KG,,9260794,11845759,,78334442,100282030
8708.80-000,'2025/09,,KG,,11056975,14359975,,89391417,114642005
8708.80-000,'2025/10,,KG,,10862785,13935621,,100254202,128577626
8708.80-000,'2025/11,,KG,,9640382,13032371,,109894584,141609997
8708.80-000,'2025/12,,KG,,11206515,14988218,,121101099,156598215
8708.80-000,'2026/01,,KG,,8588821,11362244,,8588821,11362244
8708.80-000,'2026/02,,KG,,10086331,13447525,,18675152,24809769
8708.80-000,'2026/03,,KG,,10339248,13693047,,29014400,38502816
8708.80-000,'2026/04,,KG,,10423646,14376527,,39438046,52879343
8708.80-000,'2026/05,,KG,,8829682,12423881,,48267728,65303224
8708.80-000,'2026/06,,KG,,11327145,14966439,,59594873,80269663
8708.80-000,'2026/07,,KG,,11361743,15551225,,70956616,95820888
8708.91-000,'2025/01,,KG,,828521,2422925,,828521,2422925
8708.91-000,'2025/02,,KG,,1037879,3091567,,1866400,5514492
8708.91-000,'2025/03,,KG,,971710,2713359,,2838110,8227851
8708.91-000,'2025/04,,KG,,1068876,2875974,,3906986,11103825
8708.91-000,'2025/05,,KG,,822368,2204506,,4729354,13308331
8708.91-000,'2025/06,,KG,,926635,2549249,,5655989,15857580
8708.91-000,'2025/07,,KG,,1129145,3055143,,6785134,18912723
8708.91-000,'2025/08,,KG,,803767,2200091,,7588901,21112814
8708.91-000,'2025/09,,KG,,993297,2655263,,8582198,23768077
8708.91-000,'2025/10,,KG,,1019552,2729709,,9601750,26497786
8708.91-000,'2025/11,,KG,,846127,2346882,,10447877,28844668
8708.91-000,'2025/12,,KG,,1117525,3069807,,11565402,31914475
8708.91-000,'2026/01,,KG,,871635,2335253,,871635,2335253
8708.91-000,'2026/02,,KG,,925528,2601102,,1797163,4936355
8708.91-000,'2026/03,,KG,,1007930,2773342,,2805093,7709697
8708.91-000,'2026/04,,KG,,1006741,3016820,,3811834,10726517
8708.91-000,'2026/05,,KG,,898239,2538944,,4710073,13265461
8708.91-000,'2026/06,,KG,,988600,2833399,,5698673,16098860
8708.91-000,'2026/07,,KG,,1095822,3324530,,6794495,19423390
8708.92-000,'2025/01,,KG,,968932,2187613,,968932,2187613
8708.92-000,'2025/02,,KG,,1182773,2568666,,2151705,4756279
8708.92-000,'2025/03,,KG,,1185888,2563872,,3337593,7320151
8708.92-000,'2025/04,,KG,,1277617,2652885,,4615210,9973036
8708.92-000,'2025/05,,KG,,1041135,2245250,,5656345,12218286
8708.92-000,'2025/06,,KG,,1149688,2640100,,6806033,14858386
8708.92-000,'2025/07,,KG,,1325396,2932165,,8131429,17790551
8708.92-000,'2025/08,,KG,,1060023,2479033,,9191452,20269584
8708.92-000,'2025/09,,KG,,1064397,2665762,,10255849,22935346
8708.92-000,'2025/10,,KG,,1139166,2779397,,11395015,25714743
8708.92-000,'2025/11,,KG,,1053543,2447449,,12448558,28162192
8708.92-000,'2025/12,,KG,,1319811,3044918,,13768369,31207110
8708.92-000,'2026/01,,KG,,962847,2312247,,962847,2312247
8708.92-000,'2026/02,,KG,,1021390,2528384,,1984237,4840631
8708.92-000,'2026/03,,KG,,1169130,2969458,,3153367,7810089
8708.92-000,'2026/04,,KG,,1187123,2984845,,4340490,10794934
8708.92-000,'2026/05,,KG,,1053872,2532998,,5394362,13327932
8708.92-000,'2026/06,,KG,,1203312,2859191,,6597674,16187123
8708.92-000,'2026/07,,KG,,1329066,3403486,,7926740,19590609
8708.93-000,'2025/01,,KG,,4355454,7040337,,4355454,7040337
8708.93-000,'2025/02,,KG,,5225609,8453184,,9581063,15493521
8708.93-000,'2025/03,,KG,,5527740,8573519,,15108803,24067040
8708.93-000,'2025/04,,KG,,5007514,7874519,,20116317,31941559
8708.93-000,'2025/05,,KG,,4560052,7072556,,24676369,39014115
8708.93-000,'2025/06,,KG,,5586642,8659269,,30263011,47673384
8708.93-000,'2025/07,,KG,,5502180,8553566,,35765191,56226950
8708.93-000,'2025/08,,KG,,4547855,7297138,,40313046,63524088
8708.93-000,'2025/09,,KG,,5259509,8471501,,45572555,71995589
8708.93-000,'2025/10,,KG,,5398930,8598546,,50971485,80594135
8708.93-000,'2025/11,,KG,,5195807,8645406,,56167292,89239541
8708.93-000,'2025/12,,KG,,5754022,9692198,,61921314,98931739
8708.93-000,'2026/01,,KG,,4586026,7418122,,4586026,7418122
8708.93-000,'2026/02,,KG,,5492192,9138834,,10078218,16556956
8708.93-000,'2026/03,,KG,,4784919,8294053,,14863137,24851009
8708.93-000,'2026/04,,KG,,5253871,9167800,,20117008,34018809
8708.93-000,'2026/05,,KG,,4686513,8144509,,24803521,42163318
8708.93-000,'2026/06,,KG,,6021024,9652647,,30824545,51815965
8708.93-000,'2026/07,,KG,,5702205,9528803,,36526750,61344768
8708.94-000,'2025/01,,KG,,4343263,8964826,,4343263,8964826
8708.94-000,'2025/02,,KG,,5318940,11008791,,9662203,19973617
8708.94-000,'2025/03,,KG,,5518725,11393700,,15180928,31367317
8708.94-000,'2025/04,,KG,,5373448,10650148,,20554376,42017465
8708.94-000,'2025/05,,KG,,4568089,8787951,,25122465,50805416
8708.94-000,'2025/06,,KG,,5186115,10275963,,30308580,61081379
8708.94-000,'2025/07,,KG,,5564558,11311825,,35873138,72393204
8708.94-000,'2025/08,,KG,,4522185,9022761,,40395323,81415965
8708.94-000,'2025/09,,KG,,5522814,11049839,,45918137,92465804
8708.94-000,'2025/10,,KG,,5228865,10300786,,51147002,102766590
8708.94-000,'2025/11,,KG,,4796700,9679026,,55943702,112445616
8708.94-000,'2025/12,,KG,,5952826,11812813,,61896528,124258429
8708.94-000,'2026/01,,KG,,4538912,9297330,,4538912,9297330
8708.94-000,'2026/02,,KG,,4964007,10113242,,9502919,19410572
8708.94-000,'2026/03,,KG,,5822685,12027691,,15325604,31438263
8708.94-000,'2026/04,,KG,,5835759,12302544,,21161363,43740807
8708.94-000,'2026/05,,KG,,5042877,10234200,,26204240,53975007
8708.94-000,'2026/06,,KG,,5521936,11730546,,31726176,65705553
8708.94-000,'2026/07,,KG,,5694496,12207678,,37420672,77913231
8708.95-000,'2025/01,,KG,,1301112,2731635,,1301112,2731635
8708.95-000,'2025/02,,KG,,1491067,3153970,,2792179,5885605
8708.95-000,'2025/03,,KG,,1848015,3874450,,4640194,9760055
8708.95-000,'2025/04,,KG,,1654803,3617282,,6294997,13377337
8708.95-000,'2025/05,,KG,,1465285,3045639,,7760282,16422976
8708.95-000,'2025/06,,KG,,1546069,3235734,,9306351,19658710
8708.95-000,'2025/07,,KG,,1642175,3694363,,10948526,23353073
8708.95-000,'2025/08,,KG,,1411877,2866570,,12360403,26219643
8708.95-000,'2025/09,,KG,,1687421,3450090,,14047824,29669733
8708.95-000,'2025/10,,KG,,1816120,3711087,,15863944,33380820
8708.95-000,'2025/11,,KG,,1650739,3531791,,17514683,36912611
8708.95-000,'2025/12,,KG,,1710939,3697575,,19225622,40610186
8708.95-000,'2026/01,,KG,,1490219,3117241,,1490219,3117241
8708.95-000,'2026/02,,KG,,1462315,3200509,,2952534,6317750
8708.95-000,'2026/03,,KG,,1723782,3788278,,4676316,10106028
8708.95-000,'2026/04,,KG,,1716473,3776188,,6392789,13882216
8708.95-000,'2026/05,,KG,,1475729,3241985,,7868518,17124201
8708.95-000,'2026/06,,KG,,1705151,3669601,,9573669,20793802
8708.95-000,'2026/07,,KG,,1640035,3530831,,11213704,24324633
8708.99-100,'2025/01,,KG,,126635,278523,,126635,278523
8708.99-100,'2025/02,,KG,,153921,365941,,280556,644464
8708.99-100,'2025/03,,KG,,193120,462900,,473676,1107364
8708.99-100,'2025/04,,KG,,133161,344835,,606837,1452199
8708.99-100,'2025/05,,KG,,141291,361616,,748128,1813815
8708.99-100,'2025/06,,KG,,176246,333077,,924374,2146892
8708.99-100,'2025/07,,KG,,147477,343155,,1071851,2490047
8708.99-100,'2025/08,,KG,,176940,416947,,1248791,2906994
8708.99-100,'2025/09,,KG,,187312,451897,,1436103,3358891
8708.99-100,'2025/10,,KG,,179219,433826,,1615322,3792717
8708.99-100,'2025/11,,KG,,220625,540131,,1835947,4332848
8708.99-100,'2025/12,,KG,,211358,525324,,2047305,4858172
8708.99-100,'2026/01,,KG,,153206,352415,,153206,352415
8708.99-100,'2026/02,,KG,,189800,480548,,343006,832963
8708.99-100,'2026/03,,KG,,159183,462063,,502189,1295026
8708.99-100,'2026/04,,KG,,174717,452349,,676906,1747375
8708.99-100,'2026/05,,KG,,127689,337041,,804595,2084416
8708.99-100,'2026/06,,KG,,173813,445276,,978408,2529692
8708.99-100,'2026/07,,KG,,157083,401160,,1135491,2930852
8708.99-900,'2025/01,,KG,,25423629,31058224,,25423629,31058224
8708.99-900,'2025/02,,KG,,29276229,37894829,,54699858,68953053
8708.99-900,'2025/03,,KG,,32181559,38278973,,86881417,107232026
8708.99-900,'2025/04,,KG,,31461173,37051670,,118342590,144283696
8708.99-900,'2025/05,,KG,,30054057,31551411,,148396647,175835107
8708.99-900,'2025/06,,KG,,32037844,35807748,,180434491,211642855
8708.99-900,'2025/07,,KG,,32306612,37576543,,212741103,249219398
8708.99-900,'2025/08,,KG,,30040219,33894069,,242781322,283113467
8708.99-900,'2025/09,,KG,,32087405,39834605,,274868727,322948072
8708.99-900,'2025/10,,KG,,33075828,39044419,,307944555,361992491
8708.99-900,'2025/11,,KG,,30426916,37864320,,338371471,399856811
8708.99-900,'2025/12,,KG,,32564837,40513338,,370936308,440370149
8708.99-900,'2026/01,,KG,,24597344,30219738,,24597344,30219738
8708.99-900,'2026/02,,KG,,28017067,35982850,,52614411,66202588
8708.99-900,'2026/03,,KG,,25283808,38260757,,77898219,104463345
8708.99-900,'2026/04,,KG,,25123036,37759196,,103021255,142222541
8708.99-900,'2026/05,,KG,,23215651,32577176,,126236906,174799717
8708.99-900,'2026/06,,KG,,25999005,36221599,,152235911,211021316
8708.99-900,'2026/07,,KG,,29399368,40610660,,181635279,251631976
